,rxns,subsystems
350,MAR04484,Pyrimidine metabolism
351,MAR04485,Pyrimidine metabolism
352,MAR04510,Pyrimidine metabolism
353,MAR04512,Pyrimidine metabolism
354,MAR04513,Pyrimidine metabolism
355,MAR04514,Pyrimidine metabolism
356,MAR04577,Pyrimidine metabolism
357,MAR04579,Pyrimidine metabolism
358,MAR04580,Pyrimidine metabolism
359,MAR04608,Pyrimidine metabolism
360,MAR04575,Pyrimidine metabolism
361,MAR04637,Pyrimidine metabolism
362,MAR04642,Pyrimidine metabolism
363,MAR04643,Pyrimidine metabolism
364,MAR04644,Pyrimidine metabolism
365,MAR04672,Pyrimidine metabolism
366,MAR04676,Pyrimidine metabolism
367,MAR04736,Pyrimidine metabolism
368,MAR04819,Pyrimidine metabolism
369,MAR05299,Pyrimidine metabolism
370,MAR05352,Pyrimidine metabolism
371,MAR05415,Pyrimidine metabolism
372,MAR05416,Pyrimidine metabolism
373,MAR05417,Pyrimidine metabolism
374,MAR06612,Pyrimidine metabolism
375,MAR06613,Pyrimidine metabolism
376,MAR06621,Pyrimidine metabolism
377,MAR06622,Pyrimidine metabolism
378,MAR06623,Pyrimidine metabolism
379,MAR06624,Pyrimidine metabolism
380,MAR06627,Pyrimidine metabolism
381,MAR07744,Pyrimidine metabolism
382,MAR08072,Pyrimidine metabolism
383,MAR08637,Pyrimidine metabolism
384,MAR03965,Nucleotide metabolism
385,MAR03966,Nucleotide metabolism
386,MAR03967,Nucleotide metabolism
387,MAR03968,Nucleotide metabolism
388,MAR03999,Nucleotide metabolism
389,MAR04024,Nucleotide metabolism
390,MAR04026,Nucleotide metabolism
391,MAR04054,Nucleotide metabolism
392,MAR04061,Nucleotide metabolism
393,MAR04083,Nucleotide metabolism
394,MAR04136,Nucleotide metabolism
395,MAR04180,Nucleotide metabolism
396,MAR04185,Nucleotide metabolism
397,MAR04186,Nucleotide metabolism
398,MAR04342,Nucleotide metabolism
399,MAR04344,Nucleotide metabolism
400,MAR04483,Nucleotide metabolism
401,MAR04507,Nucleotide metabolism
402,MAR04516,Nucleotide metabolism
403,MAR04601,Nucleotide metabolism
404,MAR04633,Nucleotide metabolism
405,MAR04640,Nucleotide metabolism
406,MAR04641,Nucleotide metabolism
407,MAR04680,Nucleotide metabolism
408,MAR04806,Nucleotide metabolism
409,MAR05394,Nucleotide metabolism
410,MAR06625,Nucleotide metabolism
411,MAR06626,Nucleotide metabolism
412,MAR07160,Nucleotide metabolism
413,MAR07161,Nucleotide metabolism
414,MAR07162,Nucleotide metabolism
415,MAR07163,Nucleotide metabolism
416,MAR07164,Nucleotide metabolism
417,MAR07713,Nucleotide metabolism
418,MAR07716,Nucleotide metabolism
419,MAR07717,Nucleotide metabolism
420,MAR07721,Nucleotide metabolism
421,MAR07725,Nucleotide metabolism
422,MAR07728,Nucleotide metabolism
423,MAR07800,Nucleotide metabolism
424,MAR07801,Nucleotide metabolism
425,MAR07802,Nucleotide metabolism
426,MAR07863,Nucleotide metabolism
427,MAR07864,Nucleotide metabolism
428,MAR07865,Nucleotide metabolism
429,MAR07866,Nucleotide metabolism
430,MAR07867,Nucleotide metabolism
431,MAR07868,Nucleotide metabolism
432,MAR07869,Nucleotide metabolism
433,MAR07870,Nucleotide metabolism
434,MAR07871,Nucleotide metabolism
435,MAR07872,Nucleotide metabolism
436,MAR07873,Nucleotide metabolism
437,MAR07874,Nucleotide metabolism
438,MAR07875,Nucleotide metabolism
439,MAR07876,Nucleotide metabolism
440,MAR07878,Nucleotide metabolism
441,MAR07879,Nucleotide metabolism
442,MAR07880,Nucleotide metabolism
443,MAR07881,Nucleotide metabolism
444,MAR07882,Nucleotide metabolism
445,MAR07883,Nucleotide metabolism
446,MAR07884,Nucleotide metabolism
447,MAR07885,Nucleotide metabolism
448,MAR07886,Nucleotide metabolism
449,MAR07887,Nucleotide metabolism
450,MAR07888,Nucleotide metabolism
451,MAR07889,Nucleotide metabolism
452,MAR07890,Nucleotide metabolism
453,MAR07891,Nucleotide metabolism
454,MAR07892,Nucleotide metabolism
455,MAR07893,Nucleotide metabolism
456,MAR07894,Nucleotide metabolism
457,MAR07895,Nucleotide metabolism
458,MAR08083,Nucleotide metabolism
459,MAR08085,Nucleotide metabolism
460,MAR08087,Nucleotide metabolism
461,MAR08443,Nucleotide metabolism
462,MAR08444,Nucleotide metabolism
463,MAR08445,Nucleotide metabolism
464,MAR08446,Nucleotide metabolism
465,MAR08448,Nucleotide metabolism
466,MAR08449,Nucleotide metabolism
467,MAR08450,Nucleotide metabolism
468,MAR08451,Nucleotide metabolism
469,MAR08452,Nucleotide metabolism
470,MAR08453,Nucleotide metabolism
471,MAR08454,Nucleotide metabolism
472,MAR08455,Nucleotide metabolism
473,MAR08456,Nucleotide metabolism
474,MAR08457,Nucleotide metabolism
475,MAR08458,Nucleotide metabolism
476,MAR08459,Nucleotide metabolism
477,MAR08460,Nucleotide metabolism
478,MAR08461,Nucleotide metabolism
479,MAR08462,Nucleotide metabolism
480,MAR08463,Nucleotide metabolism
481,MAR08464,Nucleotide metabolism
482,MAR08465,Nucleotide metabolism
483,MAR08466,Nucleotide metabolism
484,MAR08467,Nucleotide metabolism
485,MAR08468,Nucleotide metabolism
486,MAR08469,Nucleotide metabolism
487,MAR08470,Nucleotide metabolism
488,MAR08471,Nucleotide metabolism
489,MAR08472,Nucleotide metabolism
490,MAR08473,Nucleotide metabolism
491,MAR08474,Nucleotide metabolism
492,MAR08477,Nucleotide metabolism
493,MAR08478,Nucleotide metabolism
494,MAR08479,Nucleotide metabolism
495,MAR08480,Nucleotide metabolism
496,MAR08481,Nucleotide metabolism
497,MAR08482,Nucleotide metabolism
498,MAR08483,Nucleotide metabolism
499,MAR08484,Nucleotide metabolism
500,MAR08485,Nucleotide metabolism
501,MAR08486,Nucleotide metabolism
502,MAR08487,Nucleotide metabolism
503,MAR08488,Nucleotide metabolism
504,MAR08489,Nucleotide metabolism
505,MAR08493,Nucleotide metabolism
506,MAR08494,Nucleotide metabolism
507,MAR08495,Nucleotide metabolism
508,MAR03802,"Alanine, aspartate and glutamate metabolism"
509,MAR03804,"Alanine, aspartate and glutamate metabolism"
510,MAR03811,"Alanine, aspartate and glutamate metabolism"
511,MAR03813,"Alanine, aspartate and glutamate metabolism"
512,MAR03822,"Alanine, aspartate and glutamate metabolism"
513,MAR03827,"Alanine, aspartate and glutamate metabolism"
514,MAR03829,"Alanine, aspartate and glutamate metabolism"
515,MAR03831,"Alanine, aspartate and glutamate metabolism"
516,MAR03862,"Alanine, aspartate and glutamate metabolism"
517,MAR03865,"Alanine, aspartate and glutamate metabolism"
518,MAR03870,"Alanine, aspartate and glutamate metabolism"
519,MAR03873,"Alanine, aspartate and glutamate metabolism"
520,MAR08654,"Alanine, aspartate and glutamate metabolism"
521,MAR03890,"Alanine, aspartate and glutamate metabolism"
522,MAR03892,"Alanine, aspartate and glutamate metabolism"
523,MAR09802,"Alanine, aspartate and glutamate metabolism"
524,MAR03899,"Alanine, aspartate and glutamate metabolism"
525,MAR03903,"Alanine, aspartate and glutamate metabolism"
526,MAR04109,"Alanine, aspartate and glutamate metabolism"
527,MAR04114,"Alanine, aspartate and glutamate metabolism"
528,MAR04115,"Alanine, aspartate and glutamate metabolism"
529,MAR04118,"Alanine, aspartate and glutamate metabolism"
530,MAR04172,"Alanine, aspartate and glutamate metabolism"
531,MAR04196,"Alanine, aspartate and glutamate metabolism"
532,MAR04197,"Alanine, aspartate and glutamate metabolism"
533,MAR04287,"Alanine, aspartate and glutamate metabolism"
534,MAR04690,"Alanine, aspartate and glutamate metabolism"
535,MAR04693,"Alanine, aspartate and glutamate metabolism"
536,MAR06780,"Alanine, aspartate and glutamate metabolism"
537,MAR06968,"Alanine, aspartate and glutamate metabolism"
538,MAR06969,"Alanine, aspartate and glutamate metabolism"
539,MAR06970,"Alanine, aspartate and glutamate metabolism"
540,MAR06971,"Alanine, aspartate and glutamate metabolism"
541,MAR06972,"Alanine, aspartate and glutamate metabolism"
542,MAR07641,"Alanine, aspartate and glutamate metabolism"
543,MAR07642,"Alanine, aspartate and glutamate metabolism"
544,MAR08626,"Alanine, aspartate and glutamate metabolism"
545,MAR08628,"Alanine, aspartate and glutamate metabolism"
546,MAR03806,Arginine and proline metabolism
547,MAR03807,Arginine and proline metabolism
548,MAR03809,Arginine and proline metabolism
549,MAR03816,Arginine and proline metabolism
550,MAR03819,Arginine and proline metabolism
551,MAR03820,Arginine and proline metabolism
552,MAR03832,Arginine and proline metabolism
553,MAR03833,Arginine and proline metabolism
554,MAR03835,Arginine and proline metabolism
555,MAR03837,Arginine and proline metabolism
556,MAR03838,Arginine and proline metabolism
557,MAR03895,Arginine and proline metabolism
558,MAR03897,Arginine and proline metabolism
559,MAR03956,Arginine and proline metabolism
560,MAR03993,Arginine and proline metabolism
561,MAR04073,Arginine and proline metabolism
562,MAR04075,Arginine and proline metabolism
563,MAR04077,Arginine and proline metabolism
564,MAR04190,Arginine and proline metabolism
565,MAR04191,Arginine and proline metabolism
566,MAR04212,Arginine and proline metabolism
567,MAR04422,Arginine and proline metabolism
568,MAR04423,Arginine and proline metabolism
569,MAR04424,Arginine and proline metabolism
570,MAR04583,Arginine and proline metabolism
571,MAR04605,Arginine and proline metabolism
572,MAR04606,Histidine metabolism
573,MAR04607,Histidine metabolism
574,MAR04776,Arginine and proline metabolism
575,MAR04777,Arginine and proline metabolism
576,MAR04778,Arginine and proline metabolism
577,MAR04779,Arginine and proline metabolism
578,MAR04780,Arginine and proline metabolism
579,MAR04781,Arginine and proline metabolism
580,MAR04784,Arginine and proline metabolism
581,MAR04785,Arginine and proline metabolism
582,MAR04786,Arginine and proline metabolism
583,MAR04787,Arginine and proline metabolism
584,MAR05384,Arginine and proline metabolism
585,MAR06929,Arginine and proline metabolism
586,MAR06930,Arginine and proline metabolism
587,MAR06931,Arginine and proline metabolism
588,MAR06932,Arginine and proline metabolism
589,MAR06933,Arginine and proline metabolism
590,MAR06934,Arginine and proline metabolism
591,MAR06935,Arginine and proline metabolism
592,MAR06936,Arginine and proline metabolism
593,MAR06938,Arginine and proline metabolism
594,MAR06939,Arginine and proline metabolism
595,MAR06940,Arginine and proline metabolism
596,MAR06941,Arginine and proline metabolism
597,MAR06942,Arginine and proline metabolism
598,MAR06943,Arginine and proline metabolism
599,MAR06944,Arginine and proline metabolism
600,MAR06945,Arginine and proline metabolism
601,MAR06946,Arginine and proline metabolism
602,MAR06947,Arginine and proline metabolism
603,MAR06948,Arginine and proline metabolism
604,MAR06949,Arginine and proline metabolism
605,MAR06950,Arginine and proline metabolism
606,MAR06951,Arginine and proline metabolism
607,MAR06952,Arginine and proline metabolism
608,MAR06953,Arginine and proline metabolism
609,MAR06954,Arginine and proline metabolism
610,MAR06955,Arginine and proline metabolism
611,MAR06956,Arginine and proline metabolism
612,MAR06957,Arginine and proline metabolism
613,MAR06958,Arginine and proline metabolism
614,MAR06959,Arginine and proline metabolism
615,MAR06960,Arginine and proline metabolism
616,MAR06961,Arginine and proline metabolism
617,MAR06962,Arginine and proline metabolism
618,MAR06963,Arginine and proline metabolism
619,MAR06964,Arginine and proline metabolism
620,MAR06965,Arginine and proline metabolism
621,MAR06966,Arginine and proline metabolism
622,MAR06967,Arginine and proline metabolism
623,MAR06973,Arginine and proline metabolism
624,MAR08096,Arginine and proline metabolism
625,MAR08097,Arginine and proline metabolism
626,MAR08098,Arginine and proline metabolism
627,MAR08416,Arginine and proline metabolism
628,MAR08425,Arginine and proline metabolism
629,MAR08426,Arginine and proline metabolism
630,MAR08427,Arginine and proline metabolism
631,MAR08431,Arginine and proline metabolism
632,MAR08432,Arginine and proline metabolism
633,MAR08603,Arginine and proline metabolism
634,MAR08604,Arginine and proline metabolism
635,MAR08605,Arginine and proline metabolism
636,MAR08606,Arginine and proline metabolism
637,MAR08607,Arginine and proline metabolism
638,MAR08608,Arginine and proline metabolism
639,MAR08609,Arginine and proline metabolism
640,MAR08610,Arginine and proline metabolism
641,MAR08611,Arginine and proline metabolism
642,MAR04285,"Alanine, aspartate and glutamate metabolism"
643,MAR00457,"Glycine, serine and threonine metabolism"
644,MAR00460,"Glycine, serine and threonine metabolism"
645,MAR03750,"Glycine, serine and threonine metabolism"
646,MAR03752,"Glycine, serine and threonine metabolism"
647,MAR03770,"Glycine, serine and threonine metabolism"
648,MAR03771,"Glycine, serine and threonine metabolism"
649,MAR03772,"Glycine, serine and threonine metabolism"
650,MAR03782,"Glycine, serine and threonine metabolism"
651,MAR03784,"Glycine, serine and threonine metabolism"
652,MAR03794,"Glycine, serine and threonine metabolism"
653,MAR03839,"Glycine, serine and threonine metabolism"
654,MAR03841,"Glycine, serine and threonine metabolism"
655,MAR03843,"Glycine, serine and threonine metabolism"
656,MAR03845,"Glycine, serine and threonine metabolism"
657,MAR03847,"Glycine, serine and threonine metabolism"
658,MAR03849,"Glycine, serine and threonine metabolism"
659,MAR03852,"Glycine, serine and threonine metabolism"
660,MAR03856,"Glycine, serine and threonine metabolism"
661,MAR03860,"Glycine, serine and threonine metabolism"
662,MAR03883,"Glycine, serine and threonine metabolism"
663,MAR03901,"Glycine, serine and threonine metabolism"
664,MAR03939,"Glycine, serine and threonine metabolism"
665,MAR03974,"Glycine, serine and threonine metabolism"
666,MAR04198,"Glycine, serine and threonine metabolism"
667,MAR04199,"Glycine, serine and threonine metabolism"
668,MAR04200,"Glycine, serine and threonine metabolism"
669,MAR04284,"Glycine, serine and threonine metabolism"
670,MAR04348,"Glycine, serine and threonine metabolism"
671,MAR04466,"Glycine, serine and threonine metabolism"
672,MAR04467,"Glycine, serine and threonine metabolism"
673,MAR04582,"Glycine, serine and threonine metabolism"
674,MAR04584,"Glycine, serine and threonine metabolism"
675,MAR04696,"Glycine, serine and threonine metabolism"
676,MAR04697,"Glycine, serine and threonine metabolism"
677,MAR04698,"Glycine, serine and threonine metabolism"
678,MAR04699,"Glycine, serine and threonine metabolism"
679,MAR04700,"Glycine, serine and threonine metabolism"
680,MAR04742,"Glycine, serine and threonine metabolism"
681,MAR04788,"Glycine, serine and threonine metabolism"
682,MAR04789,"Glycine, serine and threonine metabolism"
683,MAR04791,"Glycine, serine and threonine metabolism"
684,MAR04792,"Glycine, serine and threonine metabolism"
685,MAR04937,"Glycine, serine and threonine metabolism"
